# Сценарий 5: Жаркий летний день (Hot Day — Dubai/Phoenix условия)
# Цель: проверить, справляется ли система с охлаждением кабины
# при +45°C на земле и оценить тепловую нагрузку на тракт.
# Ожидаемое поведение: пак работает на максимуме, кабина медленно охлаждается.

# --- Увеличенная длительность симуляции: даём времени больше для стабилизации ---
0.0,sim_duration,1400

# --- Начальные условия: стоянка, +45°C ---
0.0,pwr_28v,1
0.0,pwr_115v,1
0.0,apu_avail,1
0.0,engine_running,0
0.0,eng_bleed_pressure,2.9
0.0,eng_bleed_temp,190.0
0.0,ram_air_temp,45.0
0.0,ram_air_pressure,1.013
0.0,pack_switch,0
0.0,cabin_temp_setpoint,22.0
0.0,cabin_temp_initial,30.0
0.0,cabin_press_setpoint,1.0
0.0,inject_valve_jam,0
0.0,inject_line_break,0
0.0,inject_press_loss,0
0.0,inject_ch_fault,0

# --- t=17 с: включение пака, охлаждаем кабину перед посадкой пассажиров ---
17.0,pack_switch,1

# --- t=167 с: повышенная тепловая нагрузка пассажиров (полный самолёт) ---
# Имитируется через более агрессивную уставку
167.0,cabin_temp_setpoint,20.0

# --- t=267 с: запуск двигателей перед рулением ---
267.0,engine_running,1
273.0,apu_avail,0
273.0,eng_bleed_pressure,3.2
273.0,eng_bleed_temp,210.0

# --- t=367 с: начало взлёта, быстрый набор высоты ---
367.0,ram_air_temp,30.0
367.0,ram_air_pressure,0.8
367.0,cabin_press_setpoint,0.900

# --- t=433 с: высота 3000 м ---
433.0,ram_air_temp,10.0
433.0,ram_air_pressure,0.7

# --- t=500 с: высота 6000 м ---
500.0,ram_air_temp,-15.0
500.0,ram_air_pressure,0.5
500.0,cabin_press_setpoint,0.800

# --- t=567 с: крейсер, высота 10000 м ---
567.0,ram_air_temp,-48.0
567.0,ram_air_pressure,0.265
567.0,cabin_press_setpoint,0.753
567.0,eng_bleed_pressure,3.0
567.0,eng_bleed_temp,200.0

# --- t=700 с: уставка температуры - лето, пассажиры хотят прохладнее ---
700.0,cabin_temp_setpoint,21.0

# --- t=833 с: снижение ---
833.0,ram_air_temp,25.0
833.0,ram_air_pressure,0.8
833.0,cabin_press_setpoint,0.950

# --- t=933 с: посадка, жаркий аэропорт ---
933.0,ram_air_temp,42.0
933.0,ram_air_pressure,1.013
950.0,engine_running,0
950.0,apu_avail,1

# --- t=1167 с: система стабилизировалась на земле (наблюдаем остаточный нагрев) ---
1167.0,cabin_temp_setpoint,22.0

# --- t=1633 с: конец тестирования ---
1633.0,pack_switch,0
